time,left_contact,right_contact,swing_leg,stance_leg,swing_foot_rel_com_x,swing_foot_rel_com_y,swing_foot_rel_com_z,stance_foot_rel_com_x,stance_foot_rel_com_y,stance_foot_rel_com_z,lower_body_inertia_about_robot_com_x,lower_body_inertia_about_robot_com_y,lower_body_inertia_about_robot_com_z
0.0775,1,1,-1,1,nan,nan,nan,-0.00788250229446,-0.118592300587,-0.692924689143,2.12238653737,1.96275099656,0.241588717189
0.078,1,1,-1,1,nan,nan,nan,-0.00787762974818,-0.11859232424,-0.692924572686,2.12238532357,1.9627542367,0.241593224678
0.0785,1,1,-1,1,nan,nan,nan,-0.00787268967608,-0.118592347867,-0.692924493081,2.12238424291,1.96275754765,0.241597669804
0.079,1,1,-1,1,nan,nan,nan,-0.00786768257249,-0.118592371466,-0.692924450492,2.12238329676,1.96276093047,0.241602052238
0.0795,1,1,-1,1,nan,nan,nan,-0.00786260896831,-0.118592395038,-0.692924445008,2.12238248612,1.96276438593,0.241606371764
0.08,1,1,-1,1,nan,nan,nan,-0.00785746942879,-0.118592418583,-0.692924476649,2.1223818116,1.96276791455,0.241610628273
0.0805,1,1,-1,1,nan,nan,nan,-0.00785226456285,-0.118592442103,-0.692924545366,2.12238127352,1.96277151662,0.241614821754
0.081,1,1,-1,1,nan,nan,nan,-0.00784699500757,-0.118592465609,-0.692924651049,2.12238087184,1.96277519221,0.241618952297
0.0815,1,1,-1,1,nan,nan,nan,-0.00784166136022,-0.118592489083,-0.69292479355,2.12238060628,1.9627789412,0.241623020063
0.082,1,1,-1,1,nan,nan,nan,-0.00783626421088,-0.118592512517,-0.692924972679,2.12238047633,1.96278276334,0.241627025296
0.0825,1,1,-1,1,nan,nan,nan,-0.00783080418718,-0.118592535917,-0.692925188194,2.12238048126,1.96278665819,0.241630968308
0.083,1,1,-1,1,nan,nan,nan,-0.00782528193148,-0.118592559286,-0.692925439817,2.12238062012,1.96279062521,0.241634849475
0.0835,1,1,-1,1,nan,nan,nan,-0.00781969811098,-0.118592582628,-0.692925727233,2.12238089182,1.96279466372,0.241638669228
0.084,1,1,-1,1,nan,nan,nan,-0.00781405338898,-0.118592605941,-0.692926050103,2.12238129509,1.96279877295,0.241642428049
0.0845,1,1,-1,1,nan,nan,nan,-0.0078083484526,-0.118592629229,-0.692926408057,2.12238182856,1.96280295204,0.241646126463
0.085,1,1,-1,1,nan,nan,nan,-0.00780258400401,-0.118592652496,-0.692926800705,2.12238249074,1.96280720008,0.241649765035
0.0855,1,1,-1,1,nan,nan,nan,-0.00779676074555,-0.118592675741,-0.692927227639,2.12238328005,1.9628115161,0.241653344363
0.086,1,1,-1,1,nan,nan,nan,-0.0077908793805,-0.118592698963,-0.692927688439,2.12238419486,1.96281589907,0.241656865072
0.0865,1,1,-1,1,nan,nan,nan,-0.00778494061293,-0.118592722165,-0.692928182673,2.12238523345,1.96282034796,0.241660327815
0.087,1,1,-1,1,nan,nan,nan,-0.00777894515647,-0.118592745347,-0.692928709897,2.12238639409,1.96282486169,0.241663733265
0.0875,1,1,-1,1,nan,nan,nan,-0.00777289372008,-0.11859276851,-0.692929269662,2.12238767501,1.96282943919,0.241667082112
0.088,1,1,-1,1,nan,nan,nan,-0.00776678863728,-0.118592791655,-0.692929861494,2.12238907517,1.96283407943,0.24167037436
0.0885,1,1,-1,1,nan,nan,nan,-0.00776063582806,-0.118592814781,-0.692930484866,2.12239059524,1.96283878157,0.241673608511
0.089,1,1,-1,1,nan,nan,nan,-0.007754435738,-0.118592837889,-0.692931139308,2.12239223337,1.96284354479,0.241676785571
0.0895,1,1,-1,1,nan,nan,nan,-0.00774818867497,-0.118592860979,-0.692931824351,2.1223939876,1.96284836819,0.241679906611
0.09,1,1,-1,1,nan,nan,nan,-0.0077418948152,-0.118592884051,-0.692932539519,2.1223958559,1.96285325087,0.24168297276
0.0905,1,1,-1,1,nan,nan,nan,-0.00773555421892,-0.118592907106,-0.692933284337,2.12239783614,1.96285819187,0.24168598519
0.091,1,1,-1,1,nan,nan,nan,-0.00772916685867,-0.118592930143,-0.692934058331,2.12239992613,1.9628631902,0.241688945098
0.0915,1,1,-1,1,nan,nan,nan,-0.00772273265263,-0.118592953164,-0.692934861022,2.12240212361,1.96286824482,0.241691853697
0.092,1,1,-1,1,nan,nan,nan,-0.00771625147815,-0.118592976168,-0.692935691933,2.1224044263,1.96287335465,0.241694712196
0.0925,1,1,-1,1,nan,nan,nan,-0.00770972319472,-0.118592999154,-0.692936550588,2.12240683189,1.96287851859,0.24169752179
0.093,1,1,-1,1,nan,nan,nan,-0.00770314766359,-0.118593022121,-0.692937436513,2.12240933805,1.96288373547,0.241700283653
0.0935,1,1,-1,1,nan,nan,nan,-0.00769652477079,-0.118593045071,-0.692938349236,2.12241194246,1.96288900413,0.241702998928
0.094,1,1,-1,1,nan,nan,nan,-0.00768985443201,-0.118593068004,-0.69293928829,2.12241464284,1.96289432337,0.241705668718
0.0945,1,1,-1,1,nan,nan,nan,-0.00768313660513,-0.118593090919,-0.69294025321,2.12241743691,1.96289969198,0.241708294081
0.095,1,1,-1,1,nan,nan,nan,-0.007676371299,-0.118593113814,-0.692941243543,2.12242032247,1.96290510878,0.241710876028
0.0955,1,1,-1,1,nan,nan,nan,-0.00766955857958,-0.118593136689,-0.692942258839,2.12242329736,1.96291057254,0.241713415516
0.096,1,1,-1,1,nan,nan,nan,-0.00766269857354,-0.118593159544,-0.692943298657,2.12242635948,1.96291608209,0.241715913453
0.0965,1,1,-1,1,nan,nan,nan,-0.00765579147429,-0.11859318238,-0.692944362564,2.12242950681,1.96292163626,0.241718370696
0.097,1,1,-1,1,nan,nan,nan,-0.00764883753045,-0.118593205194,-0.692945450138,2.12243273741,1.96292723392,0.241720788047
0.0975,1,1,-1,1,nan,nan,nan,-0.00764183705544,-0.118593227988,-0.692946560969,2.12243604943,1.96293287394,0.241723166263
